x,y,z
96.838,20.105,0.4947745
96.838,20.11,0.4948254
96.838,20.115,0.4947779
96.838,20.12,0.4948219
96.838,20.125,0.4947379
96.838,20.13,0.4947
96.838,20.135,0.4946389
96.838,20.14,0.4948219
96.838,20.145,0.4945879
96.838,20.15,0.4943802
96.838,20.155,0.4944814
96.838,20.16,0.4947914
96.838,20.165,0.494404
96.838,20.17,0.4944586
96.838,20.175,0.4943442
96.838,20.18,0.4942688
96.838,20.185,0.4942582
96.838,20.19,0.4942051
96.838,20.195,0.4938923
96.838,20.2,0.4939359
96.838,20.205,0.4939755
96.838,20.21,0.4938565
96.838,20.215,0.4937002
96.838,20.22,0.4940011
96.838,20.225,0.4940414
96.838,20.23,0.4939681
96.838,20.235,0.4939837
96.838,20.24,0.4937041
96.838,20.245,0.4935826
96.838,20.25,0.4936919
96.838,20.255,0.4934307
96.838,20.26,0.4936352
96.838,20.265,0.4937139
96.838,20.27,0.4937546
96.838,20.275,0.4936161
96.838,20.28,0.4935412
96.838,20.285,0.4933516
96.838,20.29,0.4934852
96.838,20.295,0.4934192
96.838,20.3,0.4933277
96.838,20.305,0.4932294
96.838,20.31,0.4932667
96.838,20.315,0.4931076
96.838,20.32,0.4929651
96.838,20.325,0.4928745
96.838,20.33,0.4931874
96.838,20.335,0.4928347
96.838,20.34,0.4925399
96.838,20.345,0.4928398
96.838,20.35,0.4928152
96.838,20.355,0.4928245
96.838,20.36,0.4928825
96.838,20.365,0.4930024
96.838,20.37,0.4928059
96.838,20.375,0.4927559
96.838,20.38,0.4929008
96.838,20.385,0.492639
96.843,20.02,0.4933277
96.843,20.025,0.4932497
96.843,20.03,0.4944865
96.843,20.035,0.4949192
96.843,20.04,0.4950633
96.843,20.045,0.4953749
96.843,20.05,0.4954216
96.843,20.055,0.4952336
96.843,20.06,0.4953642
96.843,20.065,0.4954183
96.843,20.07,0.4951878
96.843,20.075,0.4951489
96.843,20.08,0.4953098
96.843,20.085,0.4953979
96.843,20.09,0.4953386
96.843,20.095,0.4952523
96.843,20.1,0.49507
96.843,20.105,0.4948524
96.843,20.11,0.494921
96.843,20.115,0.4948483
96.843,20.12,0.4949274
96.843,20.125,0.4948697
96.843,20.13,0.494733
96.843,20.135,0.4947169
96.843,20.14,0.4947711
96.843,20.145,0.4946457
96.843,20.15,0.4945153
96.843,20.155,0.4945582
96.843,20.16,0.4947049
96.843,20.165,0.4946365
96.843,20.17,0.4944662
96.843,20.175,0.4945009
96.843,20.18,0.494334
96.843,20.185,0.4944111
96.843,20.19,0.4942959
96.843,20.195,0.4940147
96.843,20.2,0.4939203
96.843,20.205,0.4940774
96.843,20.21,0.493996
96.843,20.215,0.4938181
96.843,20.22,0.4940545
96.843,20.225,0.4941053
96.843,20.23,0.494057
96.843,20.235,0.494013
96.843,20.24,0.4938461
96.843,20.245,0.4937978
96.843,20.25,0.4938057
96.843,20.255,0.4937727
96.843,20.26,0.4936936
96.843,20.265,0.4937851
96.843,20.27,0.4938114
96.843,20.275,0.4937088
96.843,20.28,0.4935767
96.843,20.285,0.4934332
96.843,20.29,0.4936004
96.843,20.295,0.4935284
96.843,20.3,0.4933788
96.843,20.305,0.4934022
96.843,20.31,0.4933251
96.843,20.315,0.4932057
96.843,20.32,0.493104
96.843,20.325,0.4930481
96.843,20.33,0.4932362
96.843,20.335,0.4929702
96.843,20.34,0.4928093
96.843,20.345,0.4930376
96.843,20.35,0.4928093
96.843,20.355,0.4929312
96.843,20.36,0.4929609
96.843,20.365,0.4930532
96.843,20.37,0.4928448
96.843,20.375,0.4928711
96.843,20.38,0.4929033
96.843,20.385,0.4928177
96.848,20.02,0.4934497
96.848,20.025,0.4934192
96.848,20.03,0.4945326
96.848,20.035,0.4950914
96.848,20.04,0.4951054
96.848,20.045,0.4955505
96.848,20.05,0.4955233
96.848,20.055,0.4953556
96.848,20.06,0.4954211
96.848,20.065,0.4955547
96.848,20.07,0.4953321
96.848,20.075,0.4953865
96.848,20.08,0.4954491
96.848,20.085,0.495506
96.848,20.09,0.4953502
96.848,20.095,0.4954442
96.848,20.1,0.4951145
96.848,20.105,0.4948829
96.848,20.11,0.4950642
96.848,20.115,0.4949629
96.848,20.12,0.4950159
96.848,20.125,0.4949892
96.848,20.13,0.4947304
96.848,20.135,0.4947491
96.848,20.14,0.4949015
96.848,20.145,0.4946805
96.848,20.15,0.4946085
96.848,20.155,0.4945821
96.848,20.16,0.4948005
96.848,20.165,0.4947304
96.848,20.17,0.494407
96.848,20.175,0.4946002
96.848,20.18,0.494395
96.848,20.185,0.4944329
96.848,20.19,0.494273
96.848,20.195,0.4942645
96.848,20.2,0.4940315
96.848,20.205,0.4942673
96.848,20.21,0.4941406
96.848,20.215,0.4940076
96.848,20.22,0.4940727
96.848,20.225,0.4941434
96.848,20.23,0.4940793
96.848,20.235,0.4941036
96.848,20.24,0.493959
96.848,20.245,0.4939376
96.848,20.25,0.4939722
96.848,20.255,0.4938224
96.848,20.26,0.4938032
96.848,20.265,0.4938461
96.848,20.27,0.4939135
96.848,20.275,0.4937571
96.848,20.28,0.4936145
96.848,20.285,0.4933854
96.848,20.29,0.4936021
96.848,20.295,0.4935815
96.848,20.3,0.4934299
96.848,20.305,0.4936021
96.848,20.31,0.4933277
96.848,20.315,0.4933065
96.848,20.32,0.4932098
96.848,20.325,0.4932057
96.848,20.33,0.4932667
96.848,20.335,0.4931269
96.848,20.34,0.4929617
96.848,20.345,0.4932428
96.848,20.35,0.4929312
96.848,20.355,0.4929643
96.848,20.36,0.4930087
96.848,20.365,0.4931235
96.848,20.37,0.492853
96.848,20.375,0.4930532
96.848,20.38,0.4929815
96.848,20.385,0.4929685
96.853,20.02,0.4935823
96.853,20.025,0.4935758
96.853,20.03,0.4947433
96.853,20.035,0.4951648
96.853,20.04,0.4950896
96.853,20.045,0.4956734
96.853,20.05,0.4955843
96.853,20.055,0.4954615
96.853,20.06,0.4954928
96.853,20.065,0.4956758
96.853,20.07,0.4952007
96.853,20.075,0.4954953
96.853,20.08,0.4956008
96.853,20.085,0.4956076
96.853,20.09,0.4954623
96.853,20.095,0.4955233
96.853,20.1,0.495178
96.853,20.105,0.4949085
96.853,20.11,0.4951878
96.853,20.115,0.4950098
96.853,20.12,0.4951689
96.853,20.125,0.4950659
96.853,20.13,0.4947304
96.853,20.135,0.4948219
96.853,20.14,0.4950255
96.853,20.145,0.4947329
96.853,20.15,0.4947545
96.853,20.155,0.494712
96.853,20.16,0.494864
96.853,20.165,0.4947881
96.853,20.17,0.4943613
96.853,20.175,0.4946398
96.853,20.18,0.494437
96.853,20.185,0.4944841
96.853,20.19,0.4943637
96.853,20.195,0.4943348
96.853,20.2,0.4941807
96.853,20.205,0.49439
96.853,20.21,0.4941823
96.853,20.215,0.494029
96.853,20.22,0.4940991
96.853,20.225,0.4942072
96.853,20.23,0.4941005
96.853,20.235,0.4941518
96.853,20.24,0.4940076
96.853,20.245,0.4940225
96.853,20.25,0.4940736
96.853,20.255,0.4939755
96.853,20.26,0.4938758
96.853,20.265,0.4939761
96.853,20.27,0.4939769
96.853,20.275,0.4939334
96.853,20.28,0.4936747
96.853,20.285,0.4935395
96.853,20.29,0.4936631
96.853,20.295,0.4935716
96.853,20.3,0.4934925
96.853,20.305,0.4936631
96.853,20.31,0.4933694
96.853,20.315,0.4933277
96.853,20.32,0.4932972
96.853,20.325,0.4933293
96.853,20.33,0.4933104
96.853,20.335,0.4932172
96.853,20.34,0.4931356
96.853,20.345,0.4932667
96.853,20.35,0.4930741
96.853,20.355,0.4930227
96.853,20.36,0.4931142
96.853,20.365,0.4932379
96.853,20.37,0.4929168
96.853,20.375,0.4930524
96.853,20.38,0.4930112
96.853,20.385,0.4930669
96.858,20.02,0.4937273
96.858,20.025,0.4936326
96.858,20.03,0.4949744
96.858,20.035,0.4952577
96.858,20.04,0.4952818
96.858,20.045,0.4958058
96.858,20.05,0.495614
96.858,20.055,0.4955923
96.858,20.06,0.4955771
96.858,20.065,0.4957504
96.858,20.07,0.495314
96.858,20.075,0.4956076
96.858,20.08,0.4956148
96.858,20.085,0.4955353
96.858,20.09,0.4956197
96.858,20.095,0.4956661
96.858,20.1,0.4953387
96.858,20.105,0.4950049
96.858,20.11,0.4952793
96.858,20.115,0.4950354
96.858,20.12,0.4952537
96.858,20.125,0.4951895
96.858,20.13,0.4949198
96.858,20.135,0.4949953
96.858,20.14,0.4950065
96.858,20.145,0.4948219
96.858,20.15,0.494873
96.858,20.155,0.4948877
96.858,20.16,0.4949182
96.858,20.165,0.4947786
96.858,20.17,0.4945178
96.858,20.175,0.4946892
96.858,20.18,0.4944327
96.858,20.185,0.4945656
96.858,20.19,0.494367
96.858,20.195,0.4944054
96.858,20.2,0.4943612
96.858,20.205,0.4943736
96.858,20.21,0.4943052
96.858,20.215,0.4942321
96.858,20.22,0.4941815
96.858,20.225,0.4942233
96.858,20.23,0.4939697
96.858,20.235,0.4942821
96.858,20.24,0.4940892
96.858,20.245,0.4940901
96.858,20.25,0.4941519
96.858,20.255,0.4940736
96.858,20.26,0.4940307
96.858,20.265,0.4940531
96.858,20.27,0.4940579
96.858,20.275,0.4939263
